Adress,Google-adress,Lat,Lon
"Kryddgårdsgränd 16, 13536 Tyresö, Sverige","Kryddgårdsgränd 16, 135 36 Tyresö, Sweden",59.22958209999999,18.2291579
"Uddbyvägen 76, 13555 Tyresö, Sverige","Uddbyvägen 76, 135 55 Tyresö, Sweden",59.22852839999999,18.2275176
"Bergalidsgången 12, 13554 Tyresö, Sverige","Bergalidsgången 12, 135 54 Tyresö, Sweden",59.2244622,18.2279181
"Trångsundsvägen 36B, 13552 Tyresö, Sverige","Trångsundsvägen 36B, 135 52 Tyresö, Sweden",59.222672,18.18946
"Fornuddsvägen 98, 13552 Tyresö, Sverige","Fornuddsvägen 98, 135 52 Tyresö, Sweden",59.21874889999999,18.1805497
"Stallvägen 39, 13543 Tyresö, Sverige","Stallvägen 39, 135 43 Tyresö, Sweden",59.2387807,18.2382461
"Sandstigen 5A, 13550 Tyresö, Sverige","Sandstigen 5A, 135 50 Tyresö, Sweden",59.23713240000001,18.2072104
"Åkervägen 27, 13553 Tyresö, Sverige","Åkervägen 27, 135 53 Tyresö, Sweden",59.2193092,18.2030176
"Åsögatan 95B, 11829 Stockholm, Sverige","Åsögatan 95B, 118 29 Stockholm, Sweden",59.3127605,18.0701913
"Maria Sandels Gränd 3, 11269 Stockholm, Sverige","Maria Sandels gränd 3, 112 69 Stockholm, Sweden",59.33360609999999,18.0428039
"Åkervägen 13, 13553 Tyresö, Sverige","Åkervägen 13, 135 53 Tyresö, Sweden",59.2211253,18.2005387
"Lönnvägen 19, 13552 Tyresö, Sverige","Lönnvägen 19, 135 52 Tyresö, Sweden",59.2192622,18.1881161
"Berganäsvägen 16, 13552 Tyresö, Sverige","Berganäsvägen 16, 135 52 Tyresö, Sweden",59.22718019999999,18.1963255
"Martallsvägen 24, 13552 Tyresö, Sverige","Martallsvägen 24, 135 52 Tyresö, Sweden",59.2245642,18.1822694
"Kringelkroken 44, 13530 Tyresö, Sverige","Kringelkroken 44, 135 30 Tyresö, Sweden",59.2436421,18.2650818
"Kanelgränd 40, 13536 Tyresö, Sverige","Kanelgränd 40, 135 36 Tyresö, Sweden",59.23329259999999,18.2296842
"Stubbvretsvägen 2A, 13569 Tyresö, Sverige","Stubbvretsvägen 2A, 135 69 Tyresö, Sweden",59.212067,18.3848817
"Nybodavägen 4A, 13547 Tyresö, Sverige","Nybodavägen 4A, 135 47 Tyresö, Sweden",59.2445266,18.2016002
"Parkvägen 33, 13552 Tyresö, Sverige","Parkvägen 33, 135 52 Tyresö, Sweden",59.22435470000001,18.1853509
"Gränsvägen 1, 13547 Tyresö, Sverige","Gränsvägen 1, 135 47 Tyresö, Sweden",59.2470325,18.2083752
"Kärrvägen 20A, 13555 Tyresö, Sverige","Kärrvägen 20A, 135 55 Tyresö, Sweden",59.22051619999999,18.2150002
"Sofiebergsvägen 18, 13553 Tyresö, Sverige","Sofiebergsvägen 18, 135 53 Tyresö, Sweden",59.2158564,18.2000965
"Breviksliden 4, 13569 Tyresö, Sverige","Breviksliden 4, 135 69 Tyresö, Sweden",59.2140983,18.3909413
"Sikvägen 37, 13541 Tyresö, Sverige","Sikvägen 37, 135 41 Tyresö, Sweden",59.24756549999999,18.2365833
"Grenvägen 15, 13552 Tyresö, Sverige","Grenvägen 15, 135 52 Tyresö, Sweden",59.2224173,18.1837501
"Trädgårdsvägen 19, 13553 Tyresö, Sverige","Trädgårdsvägen 19, 135 53 Tyresö, Sweden",59.2181727,18.199826
"Angelikagränd 123, 13536 Tyresö, Sverige","Angelikagränd 123, 135 36 Tyresö, Sweden",59.2309766,18.2268519
"Stjärnvägen 27, 13555 Tyresö, Sverige","Stjärnvägen 27, 135 55 Tyresö, Sweden",59.23450570000001,18.2119288
"Lindalsvägen 50A, 13550 Tyresö, Sverige","Lindalsvägen 50A, 135 50 Tyresö, Sweden",59.2349495,18.2085322
"Alfabetsvägen 56, 13669 Vendelsö, Sverige","Alfabetsvägen 56, 136 69 Vendelsö, Sweden",59.1875473,18.1746891
"Svängstigen 36, 13550 Tyresö, Sverige","Svängstigen 36, 135 50 Tyresö, Sweden",59.23353109999999,18.2006255
"Skälsätravägen 36, 13554 Tyresö, Sverige","Skälsätravägen 36, 135 54 Tyresö, Sweden",59.2201659,18.229305
"Resedavägen 2A, 13554 Tyresö, Sverige","Resedavägen 2A, 135 54 Tyresö, Sweden",59.22008659999999,18.2211971
"Åvägen 36, 13675 Vendelsö, Sverige","Åvägen 36, 136 75 Vendelsö, Sweden",59.21267179999999,18.2211266
